section,english_term_phrase,spanish_medical_term,backup,other_1,other_2
CARDIOVASCULAR,Anemia,Anemia,,,
CARDIOVASCULAR,Aneurysm,Aneurisma,,,
CARDIOVASCULAR,Angina,Angina,,,
CARDIOVASCULAR,Aorta,Aorta,,,
CARDIOVASCULAR,Arrythmia,Arritmia,,,
CARDIOVASCULAR,Blood Test,Análisis de sangre,,,
CARDIOVASCULAR,Blood vessels,Vasos sanguíneos,Arterias,V enas,
CARDIOVASCULAR,Bone marrow,Medula ósea,,,
CARDIOVASCULAR,Capillaries,Capilares,,,
CARDIOVASCULAR,Cholesterol,Colesterol,,,
CARDIOVASCULAR,Congenital heart defect,Defecto cardiaco congénito,,,
CARDIOVASCULAR,Congestive heart failure,Insuficiencia cardiaca,,,
CARDIOVASCULAR,Diastolic heart pressure,Presión cardiaca diastólica,,,
CARDIOVASCULAR,Echocardiogram (Echo),Ecocardiograma,,,
CARDIOVASCULAR,Electrocardiogram (EKG),electrocardiograma,,,
CARDIOVASCULAR,Exercise tolerance test,Prueba de esfuerzo,Prueba de tolerancia al ejercicio,,
CARDIOVASCULAR,Heart Attack,Ataque cardiaco,Ataque al corazón,,
CARDIOVASCULAR,Hypertension,Hipertensión,Alta presión cardí aca,,
CARDIOVASCULAR,Hypothermia,Hipotermia,,,
CARDIOVASCULAR,Inferior vena cava,Vena cava inferior,,,
CARDIOVASCULAR,Left auricle,Aurícula Izquierda,,,
CARDIOVASCULAR,Left ventricle,Ventrículo izquierdo,,,
CARDIOVASCULAR,Lymph nodes,Nódulos linfáticos,"Ganglios, glándulas",,
CARDIOVASCULAR,Myocardial infarction,Infarto del miocardio,,,
CARDIOVASCULAR,Pulmonary artery,Arteria pulmonar,,,
CARDIOVASCULAR,Pulmonary veins,Venas pulmonares,,,
CARDIOVASCULAR,Sickle-cell anemia,Anemia falciforme,,,
CARDIOVASCULAR,Spleen,Bazo,,,
CARDIOVASCULAR,Systolic pressure,Presión sistólica,,,
CARDIOVASCULAR,Valves,Válvulas,,,
CARDIOVASCULAR,Varicose veins,Varices,,,
DIGESTIVE,Acid reflux,Reflujo ácido,Acidez estomacal,agruras,
DIGESTIVE,Appendicitis,Apendicitis,,,
DIGESTIVE,Appendix,Apéndice,,,
DIGESTIVE,Bowel,Intestino,entrañas,Tripas,
DIGESTIVE,Bowel movement,Defecación,"Evacuación, deposición",,
DIGESTIVE,Cirrhosis,Cirrosis,,,
DIGESTIVE,Colonoscopy,Colonoscopia,,,
DIGESTIVE,Constipation,Estreñimiento,,,
DIGESTIVE,Diarrhea,Diarrea,,,
DIGESTIVE,Endoscopy,Endoscopia,,,
DIGESTIVE,Epiglottis,Epiglotis,,,
DIGESTIVE,Esophagus,Esófago,,,
DIGESTIVE,Gallbladder,Vesícula biliar,,,
DIGESTIVE,Gallstones,Cálculos a la vesícula,Piedras,,
DIGESTIVE,Gastroenteritis,Gastroenteritis,,,
DIGESTIVE,Gum disease,Piorrea,Gingivitis,Enfermedad de las encías,
DIGESTIVE,Gums,Encías,,,
DIGESTIVE,Heartburn,Agruras,,,
DIGESTIVE,Hemorrhoids,Hemorroides,Almorranas,hemorroides,
DIGESTIVE,Hiatal hernia,Hernia hiatal,Hernia de hiato,,
DIGESTIVE,Irritable bowel syndrome,Síndrome del intestino irritado,,,
DIGESTIVE,Large intestine,Intestino grueso,,,
DIGESTIVE,Pancreas,Páncreas,,,
DIGESTIVE,Peptic ulcer,Ulcera péptica,,,
DIGESTIVE,Rectum,Recto,Ano,,
DIGESTIVE,Saliva glands,Glándulas Salivales/salivares,,,
DIGESTIVE,Sigmoid colon,Colon sigmoideo,,,
DIGESTIVE,Stomach,Estómago,,,
DIGESTIVE,Trachea,Tráquea,,,
DIGESTIVE,Upper GI Series,Serie gastrointestinal,Fluoroscopía,Radiografía en serie gastrointestinal,
ENDOCRINE,Adrenal glands,Glándula suprarrenal,,,
ENDOCRINE,Autoimmune,Autoinmune,,,
ENDOCRINE,Congenital hypothyroidism,Hipotiroidismo congénito,,,
ENDOCRINE,Cushing’s syndrome,Síndrome de Cushing,,,
ENDOCRINE,Decreased sweating,Disminución del sudor,Disminución de la transpiración Arg.),,
ENDOCRINE,Depression,Depresión,,,
ENDOCRINE,Diabetes,Diabetes,,Diabetis (Coll.),
ENDOCRINE,Dry skin,Piel seca,,,
ENDOCRINE,Endocrinologist,Endocrinólogo,,,
ENDOCRINE,Enlarged thyroid,Tiroides agrandada,,,
ENDOCRINE,Fatigue/muscle weakness,Fatiga / Debilidad muscular,,,
ENDOCRINE,Goiter,Bocio,,,
ENDOCRINE,Hand tremors,Temblor de la mano,,,
ENDOCRINE,Heat intolerance,Intolerancia al calor,,,
ENDOCRINE,Heavy menstrual periods,Menorragia,Período menstrual intenso,Menstruación fuerte,
ENDOCRINE,Hormone imbalance,Desequilibrio hormonal,,,
ENDOCRINE,Hormones,Hormonas,,,
ENDOCRINE,Hyperthyroidism,Hipertiroidismo,,,
ENDOCRINE,metabolism,Metabolismo,,,
ENDOCRINE,Mood swings,Cambios de humor,,,
ENDOCRINE,Ovaries,Ovarios,,,
ENDOCRINE,Pancreas,Páncreas,,,
ENDOCRINE,Parathyroid gland,Glándula Paratiroides,,,
ENDOCRINE,Pituitary glad,Glándula pituitaria,,,
ENDOCRINE,Rapid/irregular heartbeat,Taquicardia,Latidos rápidos o irregulares del corazón,,
ENDOCRINE,Slowed heart rate,Bradicardia,Latidos lentos del corazón,,
ENDOCRINE,Thinning hair,Cabello ralo,Pelo ralo,,
ENDOCRINE,Thyroid gland,Glándula tiroides,,,
ENDOCRINE,Trouble sleeping,Insomnio,Dificultad para dormir,,
ENDOCRINE,Ultrasound,Ecografía,Ultrasonido,S onograma,
ENDOCRINE,Weight loss,Pérdida de peso,Adelgazar,,
MUSCULOSKELETAL,Arthritis,Artritis,,,
MUSCULOSKELETAL,Back pain,Dolor de espalda,,,
MUSCULOSKELETAL,Bone marrow,Médula ósea,,,
MUSCULOSKELETAL,Bony spurs,Espolones óseos,,,
MUSCULOSKELETAL,Carpal tunnel syndrome,Síndrome túnel carpiano,,,
MUSCULOSKELETAL,Cartilage,Cartílago,,,
MUSCULOSKELETAL,Cartilage pad,Tejido cartilaginoso,A lmohadilla de cartílago,,
MUSCULOSKELETAL,Coccyx,Coxis,,,
MUSCULOSKELETAL,Compound fracture,Fractura abierta,Fractura compuesta,,
MUSCULOSKELETAL,CT Scan,Tomografía computarizada,,,
MUSCULOSKELETAL,Fibromyalgia,Fibromialgia,,,
MUSCULOSKELETAL,Fracture,Fractura,Quebradura,,
MUSCULOSKELETAL,Hernia,Hernia,,,
